Site,Reserve_type,Visitors_per_day,Noise_level_dB,Distance_to_road_km,Habitat_quality_index,Vigilance_percent,Feeding_time_min,Cortisol_ng_ml
Site_01,Forest,76,36.5,22.05,82.1,13.6,49.6,6.68
Site_02,Forest,29,36.7,11.78,84.5,23.2,55.7,7.21
Site_03,Forest,91,45.4,21.6,81.7,12.6,43.9,6.79
Site_04,Forest,98,39.4,21.87,84,13.3,45.6,7.93
Site_05,Forest,8,40.4,15.53,90.3,18.9,69.5,11.62
Site_06,Forest,19,47.1,21.49,86.1,14.3,49,1.5
Site_07,Forest,69,41.9,16.05,84.1,17.5,48.6,6.84
Site_08,Forest,54,46.4,15.99,80.6,16.7,65.7,7.99
Site_09,Forest,64,38.9,16.26,78.5,18.9,71.7,5.13
Site_10,Forest,35,38.9,18.03,84.3,19.7,49.2,6.46
Site_11,Wetland,141,49.1,8.53,75.9,22.8,50,2.58
Site_12,Wetland,137,49.5,7.21,83.7,23.9,54.7,8.42
Site_13,Wetland,112,56.8,17.97,76.5,12.5,62.9,12.34
Site_14,Wetland,149,45.3,8.96,80.3,21.3,46.5,3.21
Site_15,Wetland,126,53.4,14.55,74.3,16.8,51,9.92
Site_16,Wetland,80,50.1,20.21,73,12.8,58.3,6.58
Site_17,Wetland,123,48.1,20.06,73.1,15.7,55.1,7.33
Site_18,Wetland,76,42.1,20.42,75.6,16.4,52,4.55
Site_19,Wetland,141,53.1,6.78,84.4,26.7,51.8,6.56
Site_20,Grassland,148,54.8,13.1,66.1,17.1,43.3,11.14
Site_21,Grassland,144,56.5,9.31,73,22.4,50.3,9.13
Site_22,Grassland,126,56,8.47,66.3,20.3,50.3,12.35
Site_23,Grassland,193,67.2,5.21,71,27.6,51.3,10.8
Site_24,Grassland,145,56.7,3.21,70.7,30.7,48.3,8.73
Site_25,Grassland,135,52.5,3.51,69.2,26.9,54.6,12.38
Site_26,Grassland,138,56.4,3.55,69.6,29.3,57.6,8.73
Site_27,Grassland,169,58.3,5.51,66.2,23.4,51.4,9.82
Site_28,Grassland,163,62.6,14.04,70.5,20,52.9,6.67
Site_29,Grassland,164,61.6,5.03,66.7,24,51,7.69
Site_30,Grassland,165,58.8,5.55,64,25.4,50.5,5.55
Site_31,Coastal,335,76.8,2.71,52.7,33.7,40.2,10.27
Site_32,Coastal,246,62.1,4.41,61.4,23.8,49.7,4.2
Site_33,Coastal,242,63.5,3.03,67.2,28,47.7,9.69
Site_34,Coastal,232,78.1,2.17,61.5,31.1,60.4,45.8
Site_35,Coastal,282,67.3,2.14,59,45.1,55.7,10.78
Site_36,Coastal,300,63.7,2.02,60.6,42.4,48.4,9.6
Site_37,Coastal,256,71.8,1.55,64.7,35.9,43.1,12.6
Site_38,Coastal,231,64.9,5.21,61.9,25.8,41.8,9.55
Site_39,Coastal,231,60.4,7.35,59.5,21.5,55.1,3.1
Site_40,Coastal,283,64.1,2.41,64.3,27.4,48.4,7.31
Site_41,Coastal,286,69.7,2.88,61.1,31.7,49.3,4.22
Site_42,Coastal,279,71.8,2.89,65.5,36.2,36.8,6.05
Site_43,Coastal,237,74.9,5.34,60.8,24.3,53.2,11.73
Site_44,Coastal,268,81.3,3.34,53.9,28.4,49,40
Site_45,Forest,69,45.3,30,79,6.7,48.1,5.54
Site_46,Wetland,118,47,14.38,83.6,19.4,50.6,4.66
Site_47,Grassland,181,50.4,1.8,75.7,31.5,52.4,7.59
Site_48,Coastal,268,71,1.25,58.6,42.2,47.2,4.09
